time,latitude,longitude,temperature_K
2008-01-01,41.87,-93.1,264.7845458984375
2008-01-01,41.87,-92.85,264.852294921875
2008-01-01,41.87,-92.6,264.9114990234375
2008-01-01,41.87,-92.35,265.01708984375
2008-01-01,41.87,-92.1,265.0953369140625
2008-01-01,41.87,-91.85,265.18017578125
2008-01-01,41.87,-91.6,265.3118896484375
2008-01-01,41.87,-91.35,265.451416015625
2008-01-01,41.87,-91.1,265.718505859375
2008-01-01,41.87,-90.85,266.0865478515625
2008-01-01,41.87,-90.6,266.4276123046875
2008-01-01,41.87,-90.35,266.7642822265625
2008-01-01,41.62,-96.6,266.09765625
2008-01-01,41.62,-96.35,266.171630859375
2008-01-01,41.62,-96.1,266.1453857421875
2008-01-01,41.62,-95.85,266.101806640625
2008-01-01,41.62,-95.6,266.063720703125
2008-01-01,41.62,-95.35,266.0433349609375
2008-01-01,41.62,-95.1,266.014404296875
2008-01-01,41.62,-94.85,265.925048828125
2008-01-01,41.62,-94.6,266.0313720703125
2008-01-01,41.62,-94.35,266.08837890625
2008-01-01,41.62,-94.1,266.0069580078125
2008-01-01,41.62,-93.85,265.9254150390625
2008-01-01,41.62,-93.6,265.68896484375
2008-01-01,41.62,-93.35,265.5986328125
2008-01-01,41.62,-93.1,265.602783203125
2008-01-01,41.62,-92.85,265.579345703125
2008-01-01,41.62,-92.6,265.6298828125
2008-01-01,41.62,-92.35,265.7464599609375
2008-01-01,41.62,-92.1,265.83349609375
2008-01-01,41.62,-91.85,265.968505859375
2008-01-01,41.62,-91.6,266.1259765625
2008-01-01,41.62,-91.35,266.4091796875
2008-01-01,41.62,-91.1,266.6766357421875
2008-01-01,41.62,-90.85,266.9202880859375
2008-01-01,41.62,-90.6,267.2462158203125
2008-01-01,41.62,-90.35,267.4686279296875
2008-01-01,41.37,-96.6,266.7330322265625
2008-01-01,41.37,-96.35,266.8153076171875
2008-01-01,41.37,-96.1,266.8497314453125
2008-01-01,41.37,-95.85,266.8026123046875
